,Symbols,Company,Sector
193,SHEZ,Shezan International Ltd.,Food & personal care products
194,TOMCL,The Organic Meat Company Ltd.,Food & personal care products
195,TREET,Treet Corporation Ltd.,Food & personal care products
196,UNITY,Unity Foods Limited.,Food & personal care products
197,UPFL,Unilever Pakistan Foods Ltd. (XD),Food & personal care products
198,ZIL,ZIL Limited.,Food & personal care products
199,BGL,Balochistan Glass Ltd.,Glass & ceramics
200,FRCL,Frontier Ceramics Ltd.,Glass & ceramics
201,GGGL,Ghani Global Glass Limited.,Glass & ceramics
202,GHGL,Ghani Glass Ltd.,Glass & ceramics
203,GHGLR2,Ghani Glass Ltd.(R2),Glass & ceramics
204,GVGL,Ghani Value Glass Limited.,Glass & ceramics
205,GVGLR2,Ghani Value Glass Limited.(R2),Glass & ceramics
206,KCL,Karam Ceramics Mills Ltd.,Glass & ceramics
207,REGAL,Regal Ceramics Ltd. [ DEFAULTER SEGMENT ],Glass & ceramics
208,STCL,Shabbir Tiles and Ceramics Limited.,Glass & ceramics
209,TGL,Tariq Glass.,Glass & ceramics
210,AGIC,Askari Gen Insurance Co.,Insurance
211,AICL,Adamjee Insurance Co. Ltd.,Insurance
212,ALAC,Askari Life Assurance Company Ltd.,Insurance
213,ALIFE,Adamjee Life Assurance Co. Ltd.,Insurance
214,ASIC,Asia Insurance Company Ltd.,Insurance
215,ATIL,Atlas Insurance Limited. (XD)(XB),Insurance
216,BIIC,Business & Industrial Insuranc [ DEFAULTER SEGMENT ],Insurance
217,CENI,Century Insurance Co.Ltd.,Insurance
218,CSIL,Cresent Star Insurance Ltd.,Insurance
219,EFUG,E. F. U. Gen Insurance Ltd. (XD),Insurance
220,EFUL,EFU Life Assurance Ltd.,Insurance
221,EWIC,East West Ins. Co. Ltd.,Insurance
222,HICL,Habib Insurance Co Ltd. (XD),Insurance
223,IGIHL,IGI Holdings Limited.,Insurance
224,IGIL,IGI Life Insurance Ltd.,Insurance
225,IGILR,IGI Life Insurance Ltd.(R),Insurance
226,JGICL,Jubilee General Insurance Co.Ltd.,Insurance
227,JLICL,Jubliee Life Insurance Co Ltd.,Insurance
228,PAKRI,Pakistan Reinsurance Comp.,Insurance
229,PIL,PICIC Insurance Ltd. [ DEFAULTER SEGMENT ],Insurance
230,PINL,Premier Insurance Limited.,Insurance
231,PKGI,Pakistan General Insurance Co. [ DEFAULTER SEGMENT ],Insurance
232,PRIC,Progressive Insurance Co Ltd. [ DEFAULTER SEGMENT ],Insurance
233,RICL,Reliance Insurance.,Insurance
234,SHNI,Shaheen Insurance Co Ltd.,Insurance
235,SICL,Standard Insurance Co.Ltd [ DEFAULTER SEGMENT ],Insurance
236,SSIC,Silver Star Insurance Co. [ DEFAULTER SEGMENT ],Insurance
237,TPLI,TPL Insurance Ltd.,Insurance
238,UNIC,United Insurance Company.,Insurance
239,UVIC,Universal Insurance Company Ltd.,Insurance
240,786,786 Investments Limited,Inv. banks / inv. cos. / securities cos.
241,AHL,Arif Habib Limited.,Inv. banks / inv. cos. / securities cos.
242,AMBL,Apna Microfinance Bank Limited.,Inv. banks / inv. cos. / securities cos.
243,AMSL,Al-Mal Securities & Services L [ DEFAULTER SEGMENT ],Inv. banks / inv. cos. / securities cos.
244,BIPLS,BIPL Securities Ltd. (XD),Inv. banks / inv. cos. / securities cos.
245,CASH,Calcorp Limited,Inv. banks / inv. cos. / securities cos.
246,CYAN,Cyan Limited.,Inv. banks / inv. cos. / securities cos.
247,DAWH,Dawood Hercules Corporation Ltd.,Inv. banks / inv. cos. / securities cos.
248,DEL,Dawood Equities Ltd.,Inv. banks / inv. cos. / securities cos.
249,DLL,Dawood Lawrencepur Ltd.,Inv. banks / inv. cos. / securities cos.
250,EFGH,EFG Hermes Pakistan Ltd.,Inv. banks / inv. cos. / securities cos.
251,ESBL,Escorts Investment Bank Ltd.,Inv. banks / inv. cos. / securities cos.
252,ESBLR,Escorts Investment Bank Ltd.(R),Inv. banks / inv. cos. / securities cos.
253,FCEL,First Capital Equities Ltd. [ DEFAULTER SEGMENT ],Inv. banks / inv. cos. / securities cos.
254,FCIBL,First Credit & Investment Bank Ltd.,Inv. banks / inv. cos. / securities cos.
255,FCSC,First Capital Sec.Corp. Ltd.,Inv. banks / inv. cos. / securities cos.
256,FDIBL,First Dawood Investment Bank Ltd.,Inv. banks / inv. cos. / securities cos.
257,FNEL,First National Equities Limited.,Inv. banks / inv. cos. / securities cos.
258,ICIBL,Invest Capital Investment Bank Ltd.,Inv. banks / inv. cos. / securities cos.
259,IML,Imperial Limited,Inv. banks / inv. cos. / securities cos.
260,JSCL,Jahangir Siddiqui & Company Ltd.,Inv. banks / inv. cos. / securities cos.
261,JSCLPSA,Jahangir Siddiqui & Co. (Non-V Preferen),Inv. banks / inv. cos. / securities cos.
262,JSGCL,JS Global Capital Limited.,Inv. banks / inv. cos. / securities cos.
263,JSIL,JS Investments Limited.,Inv. banks / inv. cos. / securities cos.
264,MCBAH,MCB-Arif Habib Savings & Invest Ltd.,Inv. banks / inv. cos. / securities cos.
265,NEXT,Next Capital Limited.,Inv. banks / inv. cos. / securities cos.
266,OLPL,OLP Financial Services Pakistan Limited,Inv. banks / inv. cos. / securities cos.
267,PASL,Pervez Ahmed Consultancy Services Ltd. [ DEFAULTER SEGMENT ],Inv. banks / inv. cos. / securities cos.
268,PDGH,Prudential Discount & Guarante [ DEFAULTER SEGMENT ],Inv. banks / inv. cos. / securities cos.
269,PRIB,Prudential Investment Bank [ DEFAULTER SEGMENT ],Inv. banks / inv. cos. / securities cos.
270,PSX,Pakistan Stock Exchange Limited.,Inv. banks / inv. cos. / securities cos.
271,SIBL,Security Investment Bank Ltd.,Inv. banks / inv. cos. / securities cos.
272,TRIBL,Trust Investment Bank Ltd. [ DEFAULTER SEGMENT ],Inv. banks / inv. cos. / securities cos.
273,TSBL,Trust Securities & Brokerage.,Inv. banks / inv. cos. / securities cos.
274,TSBLR,Trust Securities & Brokerage.(R),Inv. banks / inv. cos. / securities cos.
275,CJPL,Crescent Jute Products Ltd. [ DEFAULTER SEGMENT ],Jute
276,SUHJ,Sohail Jute Mills Ltd. [ DEFAULTER SEGMENT ],Jute
277,ENGL,English Leasing [ DEFAULTER SEGMENT ],Leasing companies
278,GRYL,Grays Leasing Ltd.,Leasing companies
279,PGLC,Pak Gulf Leasing Co Ltd.,Leasing companies
280,PICL,Pakistan Industrial & Comm.Lea. [ DEFAULTER SEGMENT ],Leasing companies
281,SLCL,Security Leasing Corp. [ DEFAULTER SEGMENT ],Leasing companies
282,SLCPA,Security Leasing Corp (Pref) 9.1%,Leasing companies
283,SLL,SME Leasing Ltd.,Leasing companies
284,SPLC,Saudi Pak Leasing Co. [ DEFAULTER SEGMENT ],Leasing companies
285,SPLCTFC3,Saudi Pak Leasing Co.Ltd [ DEFAULTER SEGMENT ],Leasing companies
286,BATA,Bata Pakistan Ltd.,Leather & tanneries
287,FIL,Fateh Industries Ltd. [ DEFAULTER SEGMENT ],Leather & tanneries
288,LEUL,Leather Up Ltd.,Leather & tanneries
289,PAKL,Pak Leather Crafts Ltd. [ DEFAULTER SEGMENT ],Leather & tanneries
290,SGF,Service Global Footwear Limited,Leather & tanneries
291,SRVI,Service Industries.,Leather & tanneries
292,AKDHL,AKD Hospitality Limited,Miscellaneous
293,AKGL,Al-Khair Gadoon Ltd.,Miscellaneous
294,ARPAK,Arpak International Investment.,Miscellaneous
295,DCTL,Dadabhoy Construction Technology Ltd. [ DEFAULTER SEGMENT ],Miscellaneous
296,DIIL,Dimond Industries Ltd. [ DEFAULTER SEGMENT ],Miscellaneous
297,ECOP,ECOPAK Limited.,Miscellaneous
298,GAMON,Gammon Pak.,Miscellaneous
299,GOC,GOC (PAK) Limited.,Miscellaneous
300,HACC,Hashimi Can Co Ltd. [ DEFAULTER SEGMENT ],Miscellaneous
301,HADC,Hayderi Construction. [ DEFAULTER SEGMENT ],Miscellaneous
302,MACFL,MACPAC Films Limited.,Miscellaneous
303,MWMP,Mandviwala Mauser Plastic Ind. Ltd. [ DEFAULTER SEGMENT ],Miscellaneous
304,OML,Olympia Mills Limited.,Miscellaneous
305,PABC,Pakistan Aluminium Beverage Cans Ltd,Miscellaneous
306,PACE,Pace (Pakistan) Ltd.,Miscellaneous
307,PHDL,Pakistan Hotels Developers Ltd.,Miscellaneous
308,PSEL,Pakistan Services Limited.,Miscellaneous
