AGTL	Al-Ghazi Tractors Limited.
ELCM	Elahi Cotton Mills Ltd.
ELSM	Ellcot Spinning Mills Ltd.
FAEL	Fatima Enterprises Ltd. [ DEFAULTER SEGMENT ]
GADT	Gadoon Textile Mills Ltd.
GLOT	Globe Textile Mills Ltd. [ DEFAULTER SEGMENT ]
GSPM	Gulshan Spinning Mills Ltd. [ DEFAULTER SEGMENT ]
GUSM	Gulistan Spinning Mills Ltd. [ DEFAULTER SEGMENT ]
GUTM	Gulistan Textile Mills Ltd. [ DEFAULTER SEGMENT ]
HAJT	Hajra Textile Milla Ltd. [ DEFAULTER SEGMENT ]
HIRAT	Hira Textile Mills Ltd. [ DEFAULTER SEGMENT ]
HMIM	Haji Mohammed Ismail Mills Lim [ DEFAULTER SEGMENT ]
IDRT	Idrees Textile Mills Ltd.
IDSM	Ideal Spinning Mills Ltd.
IDYM	Indus Dyeing & Manufacturing.
JATM	J. A. Textile Mills Ltd.
JDMT	Janana De Malucha Tex Mills.
JKSM	J. K. Spinning Mills Ltd.
KHSM	Khurshid Spinning Mills Ltd.
KOHTM	Kohat Textile Mills Ltd.
KOSM	Kohinoor Spinning Mills Ltd.
KSTM	Khalid Siraj Textile Mills Ltd [ DEFAULTER SEGMENT ]
LMSM	Landmark Spinning Mills Limite [ DEFAULTER SEGMENT ]
MQTM	Maqbool Textile Mills Ltd.
NAGC	Nagina Cotton Mills Ltd.
NATM	Nadeem Textile Mills Ltd.
NCML	Nazir Cotton Mills Ltd. [ DEFAULTER SEGMENT ]
PRET	Premium Textile Mills Ltd.
RCML	Reliance Cotton Spinning Mills.
RUBY	Ruby Textile Mills Ltd. [ DEFAULTER SEGMENT ]
SAIF	Saif Textile Mills Ltd.
SANE	Salman Noman Enterprises Ltd. [ DEFAULTER SEGMENT ]
SERT	Service Textile Mills Ltd.
SHCM	Shadman Cotton Mills Ltd.
SHDT	Shadab Textile Mills Ltd.
SLYT	Sally Textile Mills Ltd. [ DEFAULTER SEGMENT ]
SNAI	Sana Industries Ltd.
SSML	Saritow Spinning Mills Ltd.
SUTM	Sunrays Textile Mills Ltd.
SZTM	Shahzad Textile Mills Ltd.
TATM	Tata Textile Mills Ltd.
ASHT	Ashfaq Textile Mills Ltd.
HKKT	Hakkim Textile Mills Limited [ DEFAULTER SEGMENT ]
ICCI	ICC Industries Ltd. [ DEFAULTER SEGMENT ]
MOHE	Mohib Exports Ltd. [ DEFAULTER SEGMENT ]
PRWM	Prosperity Weaving Mills Ltd.
SDOT	Sadoon Textile Industries Ltd. [ DEFAULTER SEGMENT ]
SMTM	Samin Textiles Ltd.
STJT	Shahtaj Textile Ltd.
YOUW	Yousuf Weaving Mills Limited.
ZTL	Zephyr Textile Limited.
KHTC	Khyber Tobacco Co. Ltd.
PAKT	Pakistan Tobacco Co Ltd. (XD)
PMPK	Philip Morris (Pakistan)Ltd.
CLVL	Cordoba Logistics & Ventures Limited
GEMUNSL	Universal Network Systems Limited
PIAA	Pak International Airline Corp Ltd
PIAB	Pakistan International Airline Corp Ltd
PIBTL	Pakistan Intl. Bulk Terminal Ltd.
PICT	Pakistan Int.Container Terminal. (XD)
PNSC	Pakistan National Shipping Co.
EXTR	Extraction (Pakistan) [ DEFAULTER SEGMENT ]
POML	Punjab Oil Mills Ltd.
SSOM	S .S . Oil Mills Ltd.
SURAJ	Suraj Ghee Industries [ DEFAULTER SEGMENT ]
BNWM	Bannu Woollen Mills Limited.
