AGTL	Al-Ghazi Tractors Limited.
AICL-OCTB	Adamjee Insurance Co. Ltd.
AKBL-OCT	Askari Bank Limited.
ALHIMMF	Al Hamra Islamic Mony Market Fund
ANL-APR	Azgard Nine Limited.
ANL-JUN	Azgard Nine Limited.
ANL-MAR	Azgard Nine Limited.
ANL-MAY	Azgard Nine Limited.
ANL-OCT	Azgard Nine Limited.
ASC-APR	Al-Shaheer Corporation.
ASC-JUN	Al-Shaheer Corporation.
ASC-MAR	Al-Shaheer Corporation.
ASC-MAY	Al-Shaheer Corporation.
ASC-OCT	Al-Shaheer Corporation.
ASCFO	Askari Sovereign Cash Fund
ASL-APR	Aisha Steel Mills Limited.
ASL-JUN	Aisha Steel Mills Limited.
ASL-MAR	Aisha Steel Mills Limited.
ASL-MAY	Aisha Steel Mills Limited.
ASL-OCT	Aisha Steel Mills Limited.
ASL-OCTB	Aisha Steel Mills Limited.
ASTL-APR	Amreli Steels Limited.
ASTL-JUN	Amreli Steels Limited.
ASTL-MAR	Amreli Steels Limited.
ASTL-MAY	Amreli Steels Limited.
ASTL-OCT	Amreli Steels Limited.
ATMMFO	Atlas Money Market Fund
ATRL-APR	Attock Refinery Limited.
ATRL-JUN	Attock Refinery Limited.
ATRL-MAR	Attock Refinery Limited.
ATRL-MAY	Attock Refinery Limited.
ATRL-OCT	Attock Refinery Limited.
AVN-APR	Avanceon Limited.
AVN-APRB	Avanceon Limited.
AVN-JUN	Avanceon Limited.
AVN-JUNB	Avanceon Limited.
AVN-MAR	Avanceon Limited.
AVN-MAY	Avanceon Limited.
AVN-MAYB	Avanceon Limited.
AVN-OCT	Avanceon Limited.
BAFL-APR	Bank Alfalah Ltd.
BAFL-APRB	Bank Alfalah Ltd.
BAFL-JUN	Bank Alfalah Ltd.
BAFL-MAR	Bank Alfalah Ltd.
BAFL-MARB	Bank Alfalah Ltd.
BAFL-MAY	Bank Alfalah Ltd.
BAFL-OCT	Bank Alfalah Ltd.
BAFL-OCTB	Bank Alfalah Ltd.
BAHL-APR	Bank Al-Habib Ltd.
BAHL-APRB	Bank Al-Habib Ltd.
BAHL-JUN	Bank Al-Habib Ltd.
BAHL-MAR	Bank Al-Habib Ltd.
BAHL-MARB	Bank Al-Habib Ltd.
BAHL-MAY	Bank Al-Habib Ltd.
BAHL-OCT	Bank Al-Habib Ltd.
BGL-APR	Balochistan Glass Ltd.
BGL-MAR	Balochistan Glass Ltd.
BGL-OCT	Balochistan Glass Ltd.
BIPL-APR	Bankislami Pakistan Ltd.
BIPL-JUN	Bankislami Pakistan Ltd.
BIPL-MAR	Bankislami Pakistan Ltd.
BIPL-MAY	Bankislami Pakistan Ltd.
BIPL-OCT	Bankislami Pakistan Ltd.
BMAECFO	BMA Empress Cash Fund.
BOP-APR	Bank Of Punjab.
BOP-APRB	Bank Of Punjab.
BOP-JUN	Bank Of Punjab.
BOP-MAR	Bank Of Punjab.
BOP-MARB	Bank Of Punjab.
BOP-MAY	Bank Of Punjab.
BOP-OCT	Bank Of Punjab.
BYCO-OCT	BYCO Petroleum Pak Ltd.
CHCC-APR	Cherat Cement Co. Ltd.
CHCC-JUN	Cherat Cement Co. Ltd.
CHCC-MAR	Cherat Cement Co. Ltd.
CHCC-MAY	Cherat Cement Co. Ltd.
CHCC-OCT	Cherat Cement Co. Ltd.
CHCC-OCTB	Cherat Cement Co. Ltd.
CNERGY-APR	Cnergyico PK Limited.
CNERGY-JUN	Cnergyico PK Limited.
CNERGY-MAR	Cnergyico PK Limited.
CNERGY-MAY	Cnergyico PK Limited.
DCL-APR	Dewan Cement Limited.
DCL-JUN	Dewan Cement Limited.
DCL-MAR	Dewan Cement Limited.
DCL-MAY	Dewan Cement Limited.
DCL-OCT	Dewan Cement Limited.
DCR-APR	Dolmen City REIT.
DCR-JUN	Dolmen City REIT.
DCR-MAR	Dolmen City REIT.
DCR-MARB	Dolmen City REIT.
DCR-MAY	Dolmen City REIT.
DCR-OCT	Dolmen City REIT.
DCR-OCTB	Dolmen City REIT.
DGKC-APR	D. G. Khan Cement Co. Ltd.
DGKC-JUN	D. G. Khan Cement Co. Ltd.
DGKC-MAR	D. G. Khan Cement Co. Ltd.
DGKC-MAY	D. G. Khan Cement Co. Ltd.
DGKC-OCT	D. G. Khan Cement Co. Ltd.
DGKC-OCTB	D. G. Khan Cement Co. Ltd.
DOL-OCT	Descon Oxychem Ltd.
DOL-OCTB	Descon Oxychem Ltd.
EFERT-APR	Engro Fertilizers Limited.
EFERT-APRB	Engro Fertilizers Limited.
EFERT-JUN	Engro Fertilizers Limited.
EFERT-MAR	Engro Fertilizers Limited.
EFERT-MARB	Engro Fertilizers Limited.
EFERT-MAY	Engro Fertilizers Limited.
EFERT-OCT	Engro Fertilizers Limited.
EFERT-OCTB	Engro Fertilizers Limited.
EFERT-OCTC	Engro Fertilizers Limited.
ENGRO-APR	Engro Corporation Limited.
ENGRO-APRB	Engro Corporation Limited.
ENGRO-JUN	Engro Corporation Limited.
ENGRO-MAR	Engro Corporation Limited.
ENGRO-MARB	Engro Corporation Limited.
ENGRO-MAY	Engro Corporation Limited.
ENGRO-OCT	Engro Corporation Limited.
ENGRO-OCTB	Engro Corporation Limited.
EPCL-APR	Engro Polymer & Chemicals Ltd.
EPCL-APRB	Engro Polymer & Chemicals Ltd.
EPCL-JUN	Engro Polymer & Chemicals Ltd.
EPCL-MAR	Engro Polymer & Chemicals Ltd.
EPCL-MARB	Engro Polymer & Chemicals Ltd.
EPCL-MAY	Engro Polymer & Chemicals Ltd.
EPCL-OCT	Engro Polymer & Chemicals Ltd.
EPCL-OCTB	Engro Polymer & Chemicals Ltd.
EPCL-OCTC	Engro Polymer & Chemicals Ltd.
FABL-APR	Faysal Bank Limited.
FABL-APRB	Faysal Bank Limited.
FABL-JUN	Faysal Bank Limited.
FABL-MAR	Faysal Bank Limited.
FABL-MARB	Faysal Bank Limited.
FABL-MAY	Faysal Bank Limited.
FABL-OCT	Faysal Bank Limited.
FABL-OCTB	Faysal Bank Limited.
FATIMA-APR	Fatima Fertilizer Co Ltd.
FATIMA-APRB	Fatima Fertilizer Co Ltd.
FATIMA-JUN	Fatima Fertilizer Co Ltd.
FATIMA-JUNB	Fatima Fertilizer Co Ltd.
FATIMA-MAR	Fatima Fertilizer Co Ltd.
FATIMA-MAY	Fatima Fertilizer Co Ltd.
FATIMA-MAYB	Fatima Fertilizer Co Ltd.
FCCL-APR	Fauji Cement Co Ltd.
FCCL-JUN	Fauji Cement Co Ltd.
FCCL-MAR	Fauji Cement Co Ltd.
FCCL-MAY	Fauji Cement Co Ltd.
FCCL-OCT	Fauji Cement Co Ltd.
FCEPL-APR	Frieslandcampina Engro Pakistan Ltd.
FCEPL-JUN	Frieslandcampina Engro Pakistan Ltd.
FCEPL-MAR	Frieslandcampina Engro Pakistan Ltd.
FCEPL-MAY	Frieslandcampina Engro Pakistan Ltd.
FEROZ-APR	Ferozsons Laboratories Ltd.
FEROZ-JUN	Ferozsons Laboratories Ltd.
FEROZ-MAR	Ferozsons Laboratories Ltd.
FEROZ-MAY	Ferozsons Laboratories Ltd.
FFBL-APR	Fauji Fertilizer Bin Qasim Ltd.
FFBL-JUN	Fauji Fertilizer Bin Qasim Ltd.
FFBL-MAR	Fauji Fertilizer Bin Qasim Ltd.
FFBL-MAY	Fauji Fertilizer Bin Qasim Ltd.
FFBL-OCT	Fauji Fertilizer Bin Qasim Ltd.
FFC-APR	Fauji Fertilizer Co. Ltd.
FFC-APRB	Fauji Fertilizer Co. Ltd.
FFC-JUN	Fauji Fertilizer Co. Ltd.
FFC-MAR	Fauji Fertilizer Co. Ltd.
FFC-MARB	Fauji Fertilizer Co. Ltd.
FFC-MAY	Fauji Fertilizer Co. Ltd.
FFC-OCT	Fauji Fertilizer Co. Ltd.
FFC-OCTB	Fauji Fertilizer Co. Ltd.
FFL-APR	Fauji Foods Limited.
FFL-JUN	Fauji Foods Limited.
FFL-MAR	Fauji Foods Limited.
